autorally,all,Nodes,11,12,0,1,0.09090909090909091,0.0,6,8,False,8,4,0
autorally,all,Publishers,44,44,0,0,0.0,0.0
autorally,all,Subscribers,28,29,0,1,0.03571428571428571,0.0
autorally,all,Providers,37,38,0,1,0.02702702702702703,0.0
autorally,all,Action Clients,0,0,0,0,NaN,NaN
autorally,all,Action Servers,0,0,0,0,NaN,NaN
autorally,handwritten,Publishers,39,39,0,0,0.0,0.0
autorally,handwritten,Subscribers,23,24,0,1,0.043478260869565216,0.0
autorally,handwritten,Providers,37,38,0,1,0.02702702702702703,0.0
autorally,handwritten,Action Clients,0,0,0,0,NaN,NaN
autorally,handwritten,Action Servers,0,0,0,0,NaN,NaN
autorally,recovered,Publishers,5,5,0,0,0.0,0.0
autorally,recovered,Subscribers,5,5,0,0,0.0,0.0
autorally,recovered,Providers,0,0,0,0,NaN,NaN
autorally,recovered,Action Clients,0,0,0,0,NaN,NaN
autorally,recovered,Action Servers,0,0,0,0,NaN,NaN
autorally,/joy_node,recovered,Publishers,1,1,0,0,0.0,0.0
autorally,/joy_node,recovered,Subscribers,1,1,0,0,0.0,0.0
autorally,/joy_node,recovered,Providers,0,0,0,0,NaN,NaN
autorally,/joy_node,recovered,Action Clients,0,0,0,0,NaN,NaN
autorally,/joy_node,recovered,Action Servers,0,0,0,0,NaN,NaN
autorally,/autorally_core_manager,recovered,Publishers,1,1,0,0,0.0,0.0
autorally,/autorally_core_manager,recovered,Subscribers,2,2,0,0,0.0,0.0
autorally,/autorally_core_manager,recovered,Providers,0,0,0,0,NaN,NaN
autorally,/autorally_core_manager,recovered,Action Clients,0,0,0,0,NaN,NaN
autorally,/autorally_core_manager,recovered,Action Servers,0,0,0,0,NaN,NaN
autorally,/waypointFollower,recovered,Publishers,3,3,0,0,0.0,0.0
autorally,/waypointFollower,recovered,Subscribers,2,2,0,0,0.0,0.0
autorally,/waypointFollower,recovered,Providers,0,0,0,0,NaN,NaN
autorally,/waypointFollower,recovered,Action Clients,0,0,0,0,NaN,NaN
autorally,/waypointFollower,recovered,Action Servers,0,0,0,0,NaN,NaN
autorally,/ConstantSpeedController,recovered,Publishers,0,0,0,0,NaN,NaN
autorally,/ConstantSpeedController,recovered,Subscribers,0,0,0,0,NaN,NaN
autorally,/ConstantSpeedController,recovered,Providers,0,0,0,0,NaN,NaN
autorally,/ConstantSpeedController,recovered,Action Clients,0,0,0,0,NaN,NaN
autorally,/ConstantSpeedController,recovered,Action Servers,0,0,0,0,NaN,NaN
