Bug,detected,in-theory,Description
\href{https://github.com/Autoware-AI/autoware.ai/commit/84169473a3f72aea8a400464f5b673f3c77c6b8c}{autoware-02},,,Dangling connector
\href{https://github.com/Autoware-AI/autoware.ai/commit/939ef1836bcdf0ff2a6c98d1c1ced940b0e242dd}{autoware-10},,,Dangling connector
\href{https://github.com/AutoRally/autorally/commit/8ae7307299c48266ddf1bfede1c2256bafc94259}{autorally-01} *,\checkmark,,Inconsistent topic names
\href{https://github.com/Autoware-AI/autoware.ai/commit/c2a090dec2101be2788ecb607102fa9210e24737}{autoware-01},\checkmark,,Inconsistent topic names
\href{https://github.com/Autoware-AI/autoware.ai/commit/2fbad6d64f9d71e4b1b5e1de9008ca63f3b44fa1}{autoware-04},,,Inconsistent topic names
\href{https://github.com/Autoware-AI/autoware.ai/commit/37b9feba82e6a6fabfa689fcf9d210c3c8f287f6}{autoware-05},,\checkmark,Inconsistent topic names
\href{https://github.com/Autoware-AI/autoware.ai/commit/2a3f292eb451ac946959a3a20490427f0d2f764d}{autoware-11},\checkmark,,Inconsistent topic names
\href{https://github.com/husky/husky/commit/cd9c5a12ebb733266fb33a32dabefbebef3ffcef}{husky-02} *,\checkmark,,Inconsistent topic names
\href{https://github.com/husky/husky/commit/23c259f3340fbab901d3fe5d8fd6577e99d6e430}{husky-03},,\checkmark,Inconsistent topic names
\href{https://github.com/husky/husky/commit/8e1fd887fa89dc5f8c0d1056b1e6fd6e4c5507d0}{husky-04} *,\checkmark,,Inconsistent topic names
\href{https://github.com/husky/husky/commit/a35c2530a1d17b5c5376f4b0eb9dd022c884da1c}{husky-06} *,\checkmark,,Inconsistent topic names
\href{https://github.com/AutoRally/autorally/commit/5366f48da3ff6b19bf493d3aed39f37a02c950e6}{autorally-05},,\checkmark,Incorrect parameter path
\href{https://github.com/AutoRally/autorally/commit/60a9514dc328744da3e1842639d210b195e6d331}{autorally-03} *,\checkmark,,Incorrect topic remapping
\href{https://github.com/AutoRally/autorally/commit/63106bcaed7306a51c3bb8b4a165f28e3fbaae26}{autorally-04} *,\checkmark,,Incorrect topic remapping
\href{https://github.com/husky/husky/commit/97c5280b151665704f8f8e3beecb3e6e89ea14ae}{husky-01},,\checkmark,Incorrect topic remapping
\href{https://github.com/turtlebot/turtlebot/commit/3e32933c829e308600707a9f971334d13d1cbe19}{turtlebot-01},,\checkmark,Incorrect topic remapping
\href{https://github.com/Autoware-AI/autoware.ai/commit/3f29d183761d8799b176b18efc1f34d7ab1fde5c}{autoware-03},,\checkmark,Topic name typo
\href{https://github.com/Autoware-AI/autoware.ai/commit/a2ab41dafe76579a76ad23f92f8f4992b701433b}{autoware-09},,\checkmark,Topic name typo
\href{https://github.com/AutoRally/autorally/commit/d39ac4d75d6865fa5269ff65d1d09dd83c90cc9b}{autorally-02},,\checkmark,Topic name variable ignored
