File,blank,comment,code
move_base.py,43,15,170
spawn_model.py,17,4,79
autorally.py,21,4,56
spawner.py,13,11,55
pointgrey_camera_driver.py,6,5,54
amcl.py,7,5,54
image_proc_nodelets.py,23,1,49
depth_image_proc_nodelets.py,24,6,43
gzserver.py,5,1,37
ekf_localization.py,7,1,36
rostopic.py,8,2,34
lap_stats.py,4,2,28
topic_tools_mux.py,13,12,27
joint_state_publisher.py,9,2,20
image_transport.py,4,0,20
cmd_vel_mux.py,5,2,17
pdw_turtlebot3_fake.py,4,1,14
diagnostic_aggregator.py,7,3,13
stage_ros.py,6,4,13
velocity_smoother.py,6,6,12
kobuki_safety_controller.py,2,0,11
pdw_robot_state_publisher.py,6,6,9
twist_mux.py,3,1,9
rosdiscover_error_reproducer.py,3,9,9
robot_state_publisher.py,6,6,9
fetch_teleop.py,4,3,8
map_server.py,4,3,8
gazebo_gui.py,2,1,7
joy.py,1,4,5
turtlebot3_teleop_key.py,2,1,5
rviz.py,3,2,5
pdw_turtlebot3_teleop_key.py,2,1,5
SUM:,270,124,921
AVG:,8.4375,3.875,28.78125
